trial_id,harness_score,human_score
T10_T2_C5plan_s1024d,0,0
T14_T2_C1_s512d,1,1
T07_T2_C1_s512,0,0
T17_T2_C1_allseeds,0,0
T09_T2_C4plan_s1024,0,0
T08_T2_C1_s512,0,0
T15_T2_C5plan_s1024d,0,0
T03_T2_C1_s512,0,0
T04_T2_C3gen_s1024,0,0
T09_T2_C4plan_s512,1,1
T13_T2_C3gen_s42,0,0
T01_T2_C1_s1024d,1,1
T09_T2_C3gen_s42c,0,0
T12_T2_C2_s256,0,0
T03_T2_C3gen_s42,1,0
T16_T2_C3gen_s42,0,0
T08_T2_C2_s137,0,0
T08_T2_C1_s1024d,1,1
T14_T2_C5plan_s1024d,0,0
T17_T2_C3gen_s256,0,0
T14_T2_C2_s512d,0,0
T10_T2_C1_s42,1,1
T11_T2_C1_s42c,0,0
T11_T2_C5plan_s256d,0,0
T09_T2_C1_s256b,0,0
T11_T2_C3gen_s137b,0,0
T18_T2_C1_s42,0,0
T16_T2_C4plan_s137b,0,0
T15_T2_C4plan_s42d,0,0
T20_T2_C1_allseeds,0,0
T12_T2_C3gen_s137b,0,0
T19_T2_C5plan_s42,0,0
T18_T2_C4plan_s137b,0,0
T08_T2_C2_s256b,0,0
T17_T2_C3gen_s137,0,0
T12_T2_C3gen_s42,0,0
T04_T2_C2_s137,0,0
T14_T2_C2_s256b,0,0
T17_T2_C4plan_s42,0,0
T16_T2_C4plan_s42,0,0
T02_T2_C5plan_s256,0,0
T03_T2_C1_s512d,1,0
T12_T2_C4plan_s137c,0,0
T08_T3_C1_s42b,0,0
T11_T3_C2_s256,0,0
T09_T3_C1_s512c,0,0
T07_T3_C4plan_s42,0,0
T20_T3_C2_s1024e,0,0
T19_T3_C3gen_s512f,0,0
T13_T3_C3gen_s137c,0,0
T10_T3_C3gen_s137c,0,0
T10_T3_C4plan_s137c,0,0
T07_T3_C1_s512c,0,0
T19_T3_C2_allseeds_final,0,0
T04_T3_C2_s256,0,0
T15_T3_C2_s137c,0,0
T16_T3_C1_s256e,0,0
T05_T3_C5plan_s42,0,0
T12_T3_C1_s137c,0,0
T12_T3_C4plan_s1024d,0,0
T08_T3_C2_s256,0,0
T12_T3_C2_s42,0,0
T17_T3_C1_s42_b3,0,0
T01_T3_C5plan_s512d,0,0
T08_T3_C5plan_s512d,0,0
T17_T3_C4plan_allseeds,0,0
T17_T3_C1_s256b,0,0
T11_T3_C1_s137c,0,0
T13_T3_C2_s137c,0,0
T01_T3_C3gen_s137c,0,0
T18_T3_C4plan_allseeds,0,0
T12_T3_C4plan_s512d,0,0
T04_T3_C4plan_s1024d,0,0
T10_T3_C5plan_s256b,0,0
T07_T3_C3gen_s1024d,0,0
T08_T3_C5plan_s1024d,0,0
T01_T3_C3gen_s256c,0,0
T11_T3_C1_s42,0,0
T13_T3_C2_s256,0,0
T14_T3_C1_s1024c,0,0
T18_T3_C2_s512e,0,0
T08_T3_C5plan_s42e,0,0
T12_T3_C1_s42,0,0
T13_T3_C2_s512c,0,0
T04_T3_C3gen_s137c,0,0
T14_T3_C2_s256,0,0
T09_T3_C2_s256,0,0
T10_T3_C4plan_s42,0,0
T13_T3_C4plan_s256c,0,0
T01_T3_C5plan_s1024d,0,0
T12_T3_C2_s256,0,0
T20_T3_C3gen_s256f,0,0
T16_T3_C3gen_s512f,0,0
T04_T4_C3gen_s1024d,0,0
T10_T4_C4plan_s256b,0,0
T19_T4_C1_s256d,0,0
T09_T4_C4plan_s512d,0,0
T04_T4_C4plan_s42e,0,0
T04_T4_C5plan_s512d,0,0
T11_T4_C1_s512c,0,0
T14_T4_C4plan_s256b,0,0
T14_T4_C1_s42,0,0
T17_T4_C2_remaining,0,0
T15_T4_C2_s1024c,0,0
T07_T4_C4plan_s256b,0,0
T04_T4_C2_s1024c,0,0
T19_T4_C4plan_remaining,0,0
T19_T4_C2_s42d,0,0
T08_T4_C4plan_s256b,0,0
T10_T4_C1_s42,0,0
T07_T4_C2_s512c,0,0
T03_T4_C4plan_s256b,0,0
T07_T4_C4plan_s137c,0,0
T12_T4_C2_s42,0,0
T01_T4_C1_s512c,0,0
T07_T4_C4plan_s42,0,0
T04_T4_C2_s512c,0,0
T10_T4_C3gen_s256b,0,0
T11_T4_C1_s137b,0,0
T15_T4_C1_s256,0,0
T08_T4_C2_s1024c,0,0
T05_T4_C4plan_s42,0,0
T18_T4_C3gen_s137,0,0
T07_T4_C5plan_s1024d,0,0
T04_T4_C5plan_s42e,0,0
T10_T4_C4plan_s137c,0,0
T19_T4_C3gen_allseeds,0,0
T20_T4_C2_s512e,0,0
T02_T4_C4plan_s256b,0,0
T03_T4_C1_s1024c,0,0
T07_T4_C3gen_s256b,0,0
T05_T4_C5plan_s42,0,0
T03_T4_C3gen_s512d,0,0
T16_T4_C4plan_allseeds,0,0
T10_T4_C1_s137b,0,0
T16_T4_C1_s42_b3,0,0
T11_T4_C4plan_s256b,0,0
T08_T4_C4plan_s137c,0,0
T10_T4_C4plan_s42,0,0
T08_T4_C1_s512c,0,0
T04_T4_C5plan_s1024d,0,0
T09_T4_C4plan_s256b,0,0
T18_T4_C4plan_allseeds,0,0
